"name","plataform","metascore","metascore_reviews","userscore","userscore_reviews","release","genre","genero_principal","metascore_norm","metascore_cat","userscore_cat","diff_m_u","diff_m_u_abs","exclusivo"
"Forza Horizon 4","Xbox One",92,88,8.1,1348,2018-09-28,"Racing/Simulation/Automobile","Racing",9.2,"ALTO","ALTO",1.1,1.1,1
"Forza Horizon 3","Xbox One",91,91,8,1139,2016-09-23,"Racing/Simulation/Automobile","Racing",9.1,"ALTO","ALTO",1.1,1.1,1
"NieR: Automata - Become as Gods Edition","Xbox One",90,30,9,514,2018-06-26,"Role-Playing/Action RPG","Role-Playing",9,"ALTO","ALTO",0,0,1
"Ori and the Blind Forest: Definitive Edition","Xbox One",88,24,8.1,382,2016-03-11,"Action/Platformer/2D","Action",8.8,"ALTO","ALTO",0.700000000000001,0.700000000000001,1
"Minecraft: Xbox One Edition","Xbox One",88,14,7.1,352,2014-11-18,"Action Adventure/Adventure/3D/Sandbox/First-Person/Fantasy/Fantasy","Action Adventure",8.8,"ALTO","MEDIO",1.7,1.7,1
"Ori and the Blind Forest","Xbox One",88,73,8.6,990,2015-03-11,"Action/Platformer/2D","Action",8.8,"ALTO","ALTO",0.200000000000001,0.200000000000001,1
"Forza Motorsport 6","Xbox One",87,85,7.7,887,2015-09-15,"Driving/GT / Street/Racing/Simulation/Automobile","Driving",8.7,"ALTO","ALTO",0.999999999999999,0.999999999999999,1
"Forza Horizon 3: Blizzard Mountain","Xbox One",87,16,7.6,99,2016-12-13,"Racing/Simulation/Automobile","Racing",8.7,"ALTO","ALTO",1.1,1.1,1
"Forza Horizon 3: Hot Wheels","Xbox One",87,13,7.7,103,2017-05-09,"Racing/Simulation/Automobile","Racing",8.7,"ALTO","ALTO",0.999999999999999,0.999999999999999,1
"Cuphead","Xbox One",86,72,8.4,852,2017-09-29,"Action/Platformer/2D","Action",8.6,"ALTO","ALTO",0.199999999999999,0.199999999999999,1
"Killer Instinct Season 3","Xbox One",86,14,6.6,147,2016-03-29,"Action/Fighting/2D","Action",8.6,"ALTO","MEDIO",2,2,1
"Titanfall","Xbox One",86,68,6.7,2509,2014-03-11,"Shooter/Sci-Fi/Miscellaneous/General/Action/Shooter/First-Person/Sci-Fi/Arcade","Shooter",8.6,"ALTO","MEDIO",1.9,1.9,1
"Rise of the Tomb Raider","Xbox One",86,102,8,1476,2015-11-10,"Fantasy/Action Adventure/General/Linear","Fantasy",8.6,"ALTO","ALTO",0.6,0.6,1
"Forza Horizon 2","Xbox One",86,85,8.3,1111,2014-09-30,"Driving/Racing/Simulation/GT / Street/Automobile","Driving",8.6,"ALTO","ALTO",0.299999999999999,0.299999999999999,1
"Forza Motorsport 7","Xbox One",86,79,6.2,896,2017-09-29,"Racing/Simulation/Automobile","Racing",8.6,"ALTO","MEDIO",2.4,2.4,1
"Halo: The Master Chief Collection","Xbox One",85,69,7.6,1607,2014-11-11,"Miscellaneous/Compilation/Action/Shooter/First-Person/Sci-Fi/Arcade","Miscellaneous",8.5,"ALTO","ALTO",0.9,0.9,1
"Enter The Gungeon","Xbox One",85,11,7.3,23,2017-04-05,"Action/General/Shooter/Shoot-'Em-Up/Top-Down","Action",8.5,"ALTO","MEDIO",1.2,1.2,1
"Rare Replay","Xbox One",84,75,7.9,365,2015-08-04,"Miscellaneous/Compilation","Miscellaneous",8.4,"ALTO","ALTO",0.5,0.5,1
"Gears 5","Xbox One",84,89,8.2,2891,2019-09-06,"Action/Shooter/Third-Person/Arcade","Action",8.4,"ALTO","ALTO",0.200000000000001,0.200000000000001,1
"Gears of War 4","Xbox One",84,99,6.9,1478,2016-10-11,"Sci-Fi/Action/Shooter/Third-Person/Arcade","Sci-Fi",8.4,"ALTO","MEDIO",1.5,1.5,1
"Halo 5: Guardians","Xbox One",84,101,6.4,3287,2015-10-27,"Shooter/Sci-Fi/Sci-Fi/Action/Shooter/First-Person/Arcade","Shooter",8.4,"ALTO","MEDIO",2,2,1
"FRU","Xbox One",84,24,6.8,37,2016-07-13,"Miscellaneous/Puzzle/Action","Miscellaneous",8.4,"ALTO","MEDIO",1.6,1.6,1
"Castle Crashers Remastered","Xbox One",83,16,7.8,49,2015-09-09,"Action/Beat-'Em-Up/2D","Action",8.3,"ALTO","ALTO",0.500000000000001,0.500000000000001,1
"Path of Exile: The Fall of Oriath","Xbox One",83,8,7.5,34,2017-08-24,"Role-Playing/Action RPG","Role-Playing",8.3,"ALTO","ALTO",0.800000000000001,0.800000000000001,1
"OlliOlli2: XL Edition","Xbox One",83,12,6.4,7,2016-05-24,"Sports/Individual/Skate / Skateboard","Sports",8.3,"ALTO","MEDIO",1.9,1.9,1
"Warhammer: Vermintide 2","Xbox One",83,15,5.6,14,2018-07-11,"Action/Shooter/First-Person/Arcade","Action",8.3,"ALTO","MEDIO",2.7,2.7,1
"Gears of War: Ultimate Edition","Xbox One",82,74,7.7,716,2015-08-25,"Action/Shooter/Third-Person/Arcade","Action",8.2,"ALTO","ALTO",0.499999999999999,0.499999999999999,1
"Super Hydorah","Xbox One",82,7,6.9,8,2017-09-20,"Action/Shooter/Shoot-'Em-Up/Horizontal","Action",8.2,"ALTO","MEDIO",1.3,1.3,1
"Forza Horizon 2: Storm Island","Xbox One",82,19,7.5,94,2014-12-16,"Driving/GT / Street/Racing/Simulation/Automobile","Driving",8.2,"ALTO","ALTO",0.699999999999999,0.699999999999999,1
"Operencia: The Stolen Sun","Xbox One",82,15,7.1,31,2019-03-29,"Role-Playing/Action RPG","Role-Playing",8.2,"ALTO","MEDIO",1.1,1.1,1
"Rock Band Rivals","Xbox One",82,10,6.6,5,2016-10-18,"Action/Rhythm/Music","Action",8.2,"ALTO","MEDIO",1.6,1.6,1
"Kalimba","Xbox One",81,26,7.4,34,2014-12-17,"Action/General","Action",8.1,"ALTO","MEDIO",0.699999999999999,0.699999999999999,1
"Sunset Overdrive","Xbox One",81,89,7.8,1415,2014-10-28,"General/Action/General/Shooter/Third-Person/Arcade","General",8.1,"ALTO","ALTO",0.3,0.3,1
"Maldita Castilla EX: Cursed Castilla","Xbox One",81,12,7.8,33,2016-07-20,"Action/Platformer/2D","Action",8.1,"ALTO","ALTO",0.3,0.3,1
"Cities: Skylines - Xbox One Edition","Xbox One",81,30,6.3,70,2017-04-21,"Strategy/Management/Government","Strategy",8.1,"ALTO","MEDIO",1.8,1.8,1
"Aragami: Shadow Edition","Xbox One",81,8,5.5,8,2018-06-05,"Action Adventure/General","Action Adventure",8.1,"ALTO","MEDIO",2.6,2.6,1
"Halo Wars: Definitive Edition","Xbox One",81,9,7.7,103,2017-02-21,"Strategy/Real-Time/General","Strategy",8.1,"ALTO","ALTO",0.399999999999999,0.399999999999999,1
"Super Time Force","Xbox One",80,36,6.5,118,2014-05-14,"Action/Platformer/Shooter/2D/Scrolling/Shoot-'Em-Up/Vertical","Action",8,"ALTO","MEDIO",1.5,1.5,1
